Hackathon Name,Description,Host,Difficulty,Hackathon_type,year
Starburst x NTU NTC Hackathon,"Innovation is at the heart of everything and it is an essential skill for the 21st century. In collaboration with Starburst Aerospace, Nanyang Technopreneurship Center (NTC) will be launching a hackathon for students to work with companies to bring forth exciting innovations and concrete ideas for our aviation industry. As the first and only global aerospace accelerator, Starburst is an innovation catalyst in the space, aviation and defense industry. They assist teams made up of entrepreneurs and scientists to transform their ideas into marketable products.",Starburst x NTU,Difficulty: Beginner,Type: Innovation,2021
Data Mover Challenge 2021,The international Data Mover Challenge (DMC) is an annual competition that aims to bring together experts from industry and academia in a bid to test their software and solutions for transferring huge amounts of research data. DMC seeks to challenge international teams to come up with the most advanced and innovative solutions for data transfer across servers located in various countries that are connected by 100Gbps international research and education networks.,NSCC,Difficulty: Advanced,Type: High-Performance Computing,2021
Global Youth Challenge,"As the world changes and the sustainable mobility ecosystem gathers to find solutions to tomorrow’s challenges, it’s imperative the younger generation takes a leading role in climate change.",Movin’On,Difficulty: Intermediate,Type: Sustainable Mobility,2021
Seagate CORTX Integration Challenge: Singapore,Change the way the world does data by connecting CORTX™— Seagate’s open-source object storage software — with the tools and platforms that underpin the data revolution.,Seagate,Difficulty: Beginner,Type: Solution Development,2021
Engineering Innovation Challenge 2021,"This competition aims to interest, excite and enable students to understand and experience how engineering plays a part in energy innovation.",IES,Difficulty: Beginner,Type: Radiation Engineering,2021
"Build On, ASEAN 2021","Amazon Web Services (AWS) is excited to announce the launch of Build On, ASEAN 2021, a competitive hackathon that challenges the community to create technological initiatives and solutions to address challenges faced by our participating sponsors. Engage, collaborate, and innovate with AWS.",AWS,Difficulty: Beginner,Type: Solution Development,2021
CodeFiesta 2021,"CodeFiesta 2021 is a 10-day event, comprising of a series of workshops and a virtual hackathon. The event is free and open to all students. It is organised by a student organising committee in collaboration with GovTech Singapore, with the aim to provide students a platform to solve real-world challenge statements, network with their peers and tech experts, and explore possible careers in technology",GovTech,Difficulty: Beginner,Type: Solution Development,2021
SMU LIT Hackathon 2021,"This Hackathon seeks to allow participants to appreciate the synergy between technology and the legal sphere. During this event, law firms provide a set of Problem Statements, which covers diverse topics such as automating research, legal analytics and access to justice. Participant teams will choose a single Problem Statement provided and build a prototype solution.",SMU,Difficulty: Beginner,Type: Legal,2021
Facebook Hacker Cup 2021,"Hacker Cup is Facebook's annual open programming competition. Open to participants around the world, we invite you to apply problem-solving and algorithmic coding skills to advance through each year’s online rounds, win prizes, and have a chance to make it to the global finals and win the grand prize.",Facebook,Difficulty: Advanced,Type: Algorithm,2021
Citi HackOverflow 2021,"Join us in making revolutionary changes to the banking industry! You will be working with your team mates on a problem statement that solve real life problem which is relevant to showcase your skills and creativity. There will be no restrictions on coding languages, frameworks, libraries and tools.",Citigroup,Difficulty: Beginner,Type: Solution Development,2021
Asean Green Research Hackathon,"Singapore College of Insurance (SCI), in collaboration with the ASEAN Insurance Council (AIC) is organising this inaugural hackathon to generate greater awareness about green insurance and sustainable risk management; and to also bring together the best minds from the industry and beyond to be involved in the discussion and development of various innovative solutions that are necessary to address the growing need of and demand for both corporate responsibility and environmental sustainability.",Singapore College of Insurance,Difficulty: Advanced,Type: Green Insurance,2021
PSA Hackathon 2021,PSA Hackathon 2021,PSA,Difficulty: Intermediate,Type: Solution Development,2021
MSC Maritime Digital Challenge 2021,"Pit your tech skills against real-world challenges posed by leading maritime companies at the MSC Maritime Digital Challenge (MMDC). Along the way, gain valuable credentials, secure internships and get mentored by industry executives from Eastport Maritime, Kanda (in collaboration with Eastern Pacific Shipping) and Torvald Klaveness. Winning teams receive cash prizes of up to $3,500 per team too.",Maritime Singapore Connect,Difficulty: Advanced,Type: Solution Development,2021
Singapore Airlines AppChallenge 2021,"Shortlisted teams will receive dedicated mentoring sessions from aviation experts, business coaches and a chance to pitch their ideas to Singapore Airlines senior management who will be part of the judging panel. Up to 500,000 KrisFlyer Miles and Singapore Airlines Merchandise to be won.",Singapore Airlines,Difficulty: Intermediate,Type: Solution Development,2021
Virtual Accounting Innovation Challenge 2021,Showcase your skills and creativity and create a solution to solve the business issues faced by accounting professionals in the region's biggest accounting hackathon. Come build the future of accounting!,Singapore Accountancy Commission,Difficulty: Intermediate,Type: Accounting,2021
What The Hack: Environment,"What The Hack is SUTD's annual hackathon that aims to bring together people of various disciplines and provide them with a platform to find innovative solutions to meaningful real-world problems. This year’s theme is Environment, of which there will be four problem themes related to this overarching theme - Built Environment, Waste Management, Natural Environment and Transportation. Participants will have to tackle an issue from within one of these problem domains using solutions that fall under at least one of these four technological categories - Software Platforms, Internet of Things, Artificial Intelligence and Computational Fabrication. Due to the current COVID-19 situation, What The Hack 2021 will be held virtually!",SUTD,Difficulty: Beginner,Type: Solution Development,2021
SBS Transit Hackathon 2021,SBS Transit (a member of ComfortDelgro) is organising a Hackathon themed “Transcend with Technology” They are calling for interested and creative students to look at one or more of their 6 problem statements. Registration can be on an individual or team basis of maximum of 5 members. The Hackathon will be in 2 phases Phase 1 of the Hackathons : Submission of ideation proposals Phase 2 of the Hackathon : Shortlisted proposals will go into project work stage,SBS,Difficulty: Intermediate,Type: Solution Development,2021
UKSAEI Climate Change Hackathon,The UKSAEI Climate Change Hackathon aims to support the global campaign #RacetoZero to rally momentum amongst universities and businesses by generating innovative ideas from students to address the global climate issue.,UKSAEI,Difficulty: Intermediate,Type: Solution Development,2021
ST Logistics Innovation Challenge 2021,"We are inviting university students to participate in this challenge not only for the chance to collaborate with a major supply chain and logistics company, test-bed and gain funding to develop solutions, but also to play a critical role in building a more technologically-enabled Singapore.*",ST Logistics,Difficulty: Intermediate,Type: Solution Development,2021
Code for Good 2021,"At our Code for Good event, we bring coders and non-profit organizations together to solve real-world technical problems. You will experience firsthand how we use technology to inspire change, foster inclusion and make a difference in our communities. Work alongside our tech experts. Meet our recruiting teams and experience what it’s like to work as an engineer at J.P. Morgan.",JP Morgan,Difficulty: Intermediate,Type: Social Solution,2021
Supply Chain Hackathon 2021,"The Young SEAkers proudly presents our first ever Supply Chain Hackathon, supported by YCH. With a regional focus, the Supply Chain Hackathon aims to bring together youths and students of ASEAN nationality (Brunei, Myanmar, Cambodia, Indonesia, Laos, Malaysia, Philippines, Singapore, Thailand and Vietnam) to delve deeper into the supply chain realm and generate innovative ideas to tackle some of the real-life issues faced by the industry at large.",Young SEAkers,Difficulty: Intermediate,Type: Supply Chain,2021
MLDA DLW HACKATHON,"DLW Hackathon is a 48-hour virtual Hackathon, dedicated to hacks with Machine Learning and Artificial Intelligence (ML/AI), conducted fully virtual in Gather.town",NTU MLDA,Difficulty: Beginner,Type: Machine Learning,2021
TCS Sustainathon,"The world is changing, and we want to enable future-ready and inclusive education for Singapore through technology and Innovation. Join us to become a force in driving for a better and more sustainable future.",TCS Sustainathon,Difficulty: Intermediate,Type: Ideathon,2021
InfoSecurity Challenge (TISC) 2021,TISC is an online challenge organised by CSIT since 2020. It provides opportunities for interested Singaporeans to put their cybersecurity and programming skills to the test by solving challenging puzzles against the clock,CSIT,Difficulty: Beginner,Type: Cyber Security,2021
Pwc Hackathon Challenge 2021,"This year, PwC Singapore is hosting its first Hackathon Challenge where undergraduate students are given the opportunity to showcase their skills and knowledge in the cybersecurity field. Students get to put their skills to work in new ways as they navigate through real-world complex questions, designed to hone their expertise in tackling today’s cloud challenges.",PWC,Difficulty: Intermediate,Type: Cyber Security,2021
FPG Fit Hack 2021,"Led by FairPrice Group (FPG), Food, Innovation & Technology (FIT) Hack is all about discovering new ideas, concepts and business models from students in order to build a more sustainable world.",FairPrice Group,Difficulty: Intermediate,"Type: Food, Innovation & Technology",2021
HTX Investigators’ Challenge 2021,HTX Investigators’ Challenge 2021 is a fully gamified Capture-the-Flag virtual event that will involve a wide variety of challenges to showcase HTX’s capabilities in science and technology domains.,HTX,Difficulty: Intermediate,Type: Cyber Security,2021
GS ENGage 2021,We seek to engage with engineers and showcase exciting problems at Goldman Sachs. Demonstrate your creative coding and problem-solving skills at GS ENGage 2021. Apply to participate and meet fellow developers from the area while learning about our work in engineering.,Goldman Sachs,Difficulty: Intermediate,Type: Solution Development,2021
Huawei Cloud Spark 2021,"Join the HUAWEI CLOUD SPARK Hackathon Singapore 2022 to stand a chance to win up to USD15,000 (in cash) per team, and get fast-tracked into the final stages of interviews for dedicated job opportunities within Huawei and the Spark Program portfolio startups.",Huawei,Difficulty: Intermediate,Type: Solution Development,2022
Appetizier Hackathon 2021,"The theme of the hackathon: New Normal in the POST-COVID-19 Era, The Beginning of Innovation using Cloud",Coasean,Difficulty: Advanced,Type: API Development,2021
Singapore Global Game Jam 2022,"Are you interested in making games? Join Singapore Global Game Jam 2022 now! GGJ SG is a casual non-competitive game jam for people interested in game creation (digital or board games). We welcome people of all experience levels - programmers, game designers, sound producers, artists and writers are all invited! Event Details: Date: 21 Jan 6pm - 23 Jan 6pm Duration: 48 hours Location: Virtual event on Discord To Register: Step 1: Form a group (5-6 recommended). If you can’t find a group, don’t worry! You can find a group on our Discord server or Jam by yourself! Step 2: Sign up all your group members on our official GGJ jam site https://globalgamejam.org/2022/jam-sites/singapore-global-game-jam-2022 Step 3: Register for GGJ SG at https://forms.gle/q5YsM73ytvR2qW5F6 For more information, please contact ggj.sg2022@gmail.com",Global Game Jam,Difficulty: Beginner,Type: Game Development,2022
NUS Fintech Month,"The theme for this upcoming hackathon is all about ""Next-Generation Decentralized Applications"", such as DeFi, wallets, cross-chain applications, or even introducing decentralized technologies to different industries",NUS,Difficulty: Intermediate,Type: Blockchain,2022
IdeasJam NTU 2022,"An ideathon with specially curated workshops and mentors to guide the participants in planning their best start-up ideas to solve the problem statement. Innovating change by supporting the SG 2030 Green Plan. Themes include Sustainable Living, City in Nature, Resilient Future and Energy Reset.",NTU (Garage@EEE),Difficulty: Beginner,Type: Product Development,2022
NUS Data Analytics Competition 2022,The Data Analytics Competition (DAC) 2022 is a data analytics competition organised by the NUS Statistics and Data Science Society. DAC2022 is for people of varying skill levels to learn how to explore and better appreciate data.,NUS SDS,Difficulty: Beginner,Type: Product Development,2022
hacksingapore,"Enter the world of hacksingapore (also known as hacksg), a nationwide hackathon that brings together a community to tackle problems through emerging technologies — Blockchain, No-Code & Gaming. This is your chance to develop skills, explore new technologies, and test new innovative ideas to propel Singapore’s tech ecosystem forward. This January, we invite change-makers all over the country to join us from Wednesday, 5 January to Sunday, 3 April 2022 for a hybrid hackathon catered to technical & non-technical talents. Throughout the hackathon, hackers will have access to mentorship and workshops from the IMDA Team, community contributors, and the broader ecosystem.",Tribe,Difficulty: Intermediate,Type: Blockchain,2022
Eye-Spiring 2022,"Johnson & Johnson Vision Hackathon is looking for like-minded, talented students and professionals to pit their wits and envision the future of eyecare. In the spirit of hacking, think of ideas as existing and waiting to be brought to life. If you have what it takes to build an app or a business solution, then join the hackathon today!",Johnson & Johnson,Difficulty: Intermediate,Type: Healthcare,2022
iNTUition v8.0,"IEEE NTU student branch is pleased to announce that iNTUition v8, one of South East Asia’s largest 24-hour, hackathon, is right around the corner!",NTU,Difficulty: Beginner,Type: Solution Development,2022
Shopee Code League 2022,"Shopee Code League is a 2-week coding league consisting of two rounds of coding competitions, open to all students and professionals. This year, you will get to put your coding skills to the test by challenging yourself to solve algorithmic puzzles designed by our Shopee Engineering team. Participate with your buddies to solve real-world problems, and battle it out as the region’s coding champions.",Shopee,Difficulty: Intermediate,Type: Algorithms,2022
The Cyber League 2022,"Pioneered in 2020, the Cyber League is a cybersecurity movement that brings forth competitions through multiple levels. The Cyber League is fronted by N0H4TS and aims to provide a competitive platform for all students and professionals alike to hone their cybersecurity skillsets while competing at the highest level. We strive to build a thriving community of budding students and professionals to develop expertise and capabilities in cybersecurity for Singapore.",N0H4TS,Difficulty: Intermediate,Type: CyberSecurity,2022
Code League 2022,"Shopee Code League is a 2-week coding league consisting of two rounds of coding competitions, open to all students and professionals. This year, you will get to put your coding skills to the test by challenging yourself to solve algorithmic puzzles designed by our Shopee Engineering team. Participate with your buddies to solve real-world problems, and battle it out as the region’s coding champions.",Shopee,Difficulty: Intermediate,Type: Algorithm,2022
The Ground Zero 22,"NES The Ground Zero 22 is a flagship annual Startathon organized by NUS Entrepreneurship Society Startup Development Division. NES aims to promote entrepreneurship at the National University of Singapore and empower the next generation of entrepreneurs. The society is a hub for entrepreneurship with an abundance of learning and networking opportunities. We organize large conferences, startathons to bring our members closer to the business and startup community. We aim to foster the spirit of entrepreneurship with our growing network of alumni through the sharing of expertise and knowledge. NES has produced an illustrious list of alumni entrepreneurs and changemakers in various industries.",NUS Entrepreneurship Society,Difficulty: Beginner,Type: Entrepreneurship,2022
Climate Hack 2022,"Climate Hack is an inclusive hackathon to equip yourself with digital skills that you can apply and contribute to build a better world. Open to all above 18 years old in ASEAN, China & India and keen interest in using digital skills to innovate for climate action, Climate Hack connects you to a global network of like-minded individuals to collaborate and develop solutions to address climate change, and in turn, contribute to positive and sustainable development in Asia.",Singapore International Foundation,Difficulty: Beginner,Type: Innovation,2022
Google for Startups Cloud Hackathon Singapore 2022,"Join us at the Google Cloud for Startups Cloud Hackathon Singapore 2022. Over a period of 8 weeks, we will host teams as they develop solutions across Machine Learning to Sustainability on Google Cloud. At the hackathon, teams will have an ability to design and build innovative solutions, partner with Google Cloud certified engineers and create innovative solutions while harnessing the power of Google Cloud. We look forward to seeing you at the hackathon! Register today!",Google,Difficulty: Beginner,Type: Cloud Technologies,2022
2022 UAiTED Innovation Competition,"UAiTED Innovation Competition is an annual competition and is conducted as an alliance among 16 member universities in Asia with the support of industry. This competition is intended to provide an opportunity and a learning experience that will encourage a professional, innovative, and resource sharing interaction among all the participating students within member universities.",UAiTED,Difficulty: Beginner,Type: Innovation,2022
2022 APAC HPC-AI Competition,"High-performance computing and artificial intelligence are the most essential tools fueling the advancement of science. In order to handle the ever-growing demands for higher computation performance and the increase in the complexity of research problems, the world of scientific computing continues to re-innovate itself in a fast pace",HPC-AI Advisory Council,Difficulty: Advanced,Type: High-Performance Computing,2022
BrainHack 2022,"BrainHack is a unique, hands-on experience into the swiftly evolving world of digital tech. Dive deep into the exciting realms of cybersecurity, artificial intelligence (AI), space technologies, app development, fake news detection, extended reality and more. Close to 4,000 students from 75 schools joined at BrainHack 2021.",DSTA,Difficulty: Beginner,Type: Software Development,2022
15k Competition 2022,"Junior Achievement Singapore and the MIT Club of Singapore are pleased to invite you to participate in 2nd 15K Competition. The 15K Competition is an entrepreneurship competition modelled on MIT’s $100K Entrepreneurship Competition. MIT’s $100K competition started in 1989 as the $10K competition. Then became $50K in 1996. And now, $100K. Today, the $100K is a huge annual event at MIT, with the Launch finals watched by thousands, and sponsored by a hosts of top class companies and foundations.",JA Singapore,Difficulty: Intermediate,Type: Entrepreneurship,2022
Standcon 2022,"STANDCON is an annual flagship Cybersecurity Conference and Capture the Flag Competition organised by N0H4TS, Division Zero. This year, STANDCON will be held from 17 - 19 June 2022 virtually in Singapore, via Gather Town and Discord.",N0H4TS,Difficulty: Intermediate,Type: Capture-The-Flag (CTF),2022
HackForGood: Grab Hackathon 2022,"Help Grab honor its mission to drive Southeast Asia forward by creating economic empowerment for everyone. Grab seeks to enable great talents in the region like yourself, to pick up challenges and design solutions that will create social impact, empower communities, and help South East Asia to emerge stronger from the pandemic.",Grab,Difficulty: Beginner,Type: Innovation,2022
NSCC HPC Innovation Challenge for the Environment 2022,"The High-Performance Computing Innovation Challenge for the Environment by NSCC provides innovators an opportunity to access their resources and build transformational solutions, to address one or more of the following statements for our environment",NSCC,Difficulty: Intermediate,Type: High-Performance Computing,2022
SMU LIT Hackathon 2022,"Don’t miss this chance to join the SMU LIT Hackathon taking place from 1-3 July 2022! The Hackathon will be conducted in a hybrid format, with the first 2 days held virtually and the 3rd day held physically at SMU Ngee Ann Kongsi Auditorium. You will get to: - Learn basic legal technology skills from our pre-hackathon workshops - Stand a chance to win over $10,000 worth of cash prizes - Network with leading legal industry experts from Norton Rose Fulbright, Rajah & Tann Technologies, Dentons Rodyk, Clifford Chance and more - Attend insightful talks by legal technology experts during the Hackathon - Post-Hackathon Internship/ Mentorship opportunities",SMU,Difficulty: Beginner,Type: Legal Technology,2022
LifeHack 2022,"LifeHack 2022 is a hackathon aimed to channel the creativity, drive, and skills of the participants in the software development field. Participants are expected to develop intelligent solutions in response to the problem statements presented during the competition. The event is mostly held online, with the exception of the closing day.",NUS,Difficulty: Beginner,Type: Solution Development,2022
Green Bootcamp @ North West,How might your team influence the community to adopt sustainable practices into their daily lives?,"NTU Welfare Services Club, Growth & Opportunities & North West CDC",Difficulty: Beginner,Type: Sustainability,2022
Singapore Airlines AppChallenge 2022,"Do you have a creative idea that revolutionises the way we fly, travel, work and play? If so, we want to hear from you! Shortlisted teams will receive dedicated mentoring sessions from aviation experts, business coaches and a chance to pitch their ideas to Singapore Airlines Senior Management who will be part of the judging panel.",Singapore Airlines,Difficulty: Beginner,Type: Innovation,2022
IDEATE 2022,"Come join us for an exciting 3-day ideathon! With a unique theme of The Human Touch, the sky is the limit when it comes to generating ideas! In addition, this is a fully physical hackathon, so we will be welcoming both hardware and software prototypes! 🧑‍💻👩‍💻",NUS IDP Students' Club,Difficulty: Beginner,Type: Innovation,2022
BlockChamps 2022,"Ethlas is seeking talented individuals to join us in this exciting journey to bring Web3 to the next billion users through our library of casual games and immersive Metaverse. If you have a passion for game/app development and the Web3 space, wait no more! Form teams of 3-5 and embark on this mission to create an inclusive Metaverse.",Ethlas,Difficulty: Beginner,Type: Innovation,2022
Seagate Lyve Innovator of the Year 2022,"Calling startups and entrepreneurs, take the stage in Lyve Labs Singapore’s first ever pitch competition! Join to be part of the top 8 startups and receive media exposure, pitch coaching and mentorship, and network with ecosystem players!",Seagate,Difficulty: Advanced,Type: Innovation,2022
PSA Code Sprint 2022,"PSA proudly presents PSA Hackathon 2022 ! Come join us in teams of 1-4 members to challenge yourself in solving real world problems! Winners can expect attractive prizes worth total of S$17,000 and potential exciting career or internship opportunties!",PSA,Difficulty: Beginner,Type: Solution Development,2022
Digital Futurist Challenge 2022,"The Digital Futurist Challenge calls out to all youths who seeks to make a difference to the future of Singapore. Youths will come together to envision a future desired scenario of Singapore in 2060, and design creative, digital-focused solutions which may propel Singapore towards that envisioned state.",NUS-ISS,Difficulty: Beginner,Type: Innovation,2022
NCS Next Hack 2022,"NCS Group is delighted to announce the launch of the latest edition of Next Hack, a 10-week innovation challenge for all NCS & affiliates’ employees, tech enthusiasts and entrepreneurs in the APAC region, aimed at solving business challenges using cutting-edge technology!",NCS,Difficulty: Intermediate,Type: Innovation,2022
API Appetizer Hackathon,"New Normal in the POST-COVID-19 Era, The Beginning of Innovation using Cloud",API Appetizer,Difficulty: Beginner,Type: Solution Development,2022
