,Hackathon Name,Description,Hackathon_type,year,description_filtered
13,Innolympics 2021,The inaugural NCS Innolympics is an annual tournament for Asia’s leading innovators to display their problem-solving prowess in a tournament of mental agility and creativity for maximum positive social impact. At NCS we're huge fans of innovating to solve problems for the greater good.,Type: Innovation,2021,inaugural NCS Innolympics annual tournament Asia leading innovator display problem solving prowess tournament mental agility creativity maximum positive social impact NCS huge fan innovating solve problem greater good
14,Hack For Good 2021,"DSC SoC presents Hack For Good,a student-run hackathon whichseeks to inspire students to learnand use technology for socialcauses. Our innovation challengeis unique in that we are posingreal problem statements providedby NPOs in Singapore.",Type: Software Development,2021,DSC SoC present Hack Good student run hackathon whichseeks inspire student learnand use technology socialcauses innovation challengeis unique posingreal problem statement providedby NPOs Singapore
15,2021 Better Working World Data Challenge,"In close partnership with Microsoft, the 2021 Better Working World Data Challenge is aimed at attracting students with an interest in making a real-world impact. The Challenge is a global 12-week challenge for students with an interest in data science, culminating in an awards ceremony with cash prizes for winners. Participants will use satellite data supplied by NASA to help tackle climate change and the fight against bushfires using applied AI. The solutions from the Challenge will help to reduce fatalities, damage and trauma by allowing fire authorities to answer critical questions, such as who they need to warn and what locations need to be evacuated.",Type: Data Science,2021,close partnership Microsoft Better Working World Data Challenge aimed attracting student interest making real world impact Challenge global week challenge student interest data science culminating award ceremony cash prize winner Participants use satellite data supplied NASA help tackle climate change fight bushfires using applied AI solution Challenge help reduce fatality damage trauma allowing fire authority answer critical question need warn location need evacuated
16,2021 UAiTED Innovation Competition,"The 2021 UAiTED Innovation Competition is designed to: Leverage high-tech innovation to facilitate ideas and solutions for problems related to some categories among the 17 Sustainable Development Goals (SDGs) announced by the United Nations (UN). Facilitate cross-regional, multicultural, and interdisciplinary global talent development.",Type: Innovation,2021,UAiTED Innovation Competition designed Leverage high tech innovation facilitate idea solution problem related category among Sustainable Development Goals SDGs announced United Nations UN Facilitate cross regional multicultural interdisciplinary global talent development
17,CODE_EXP 2021,"Harness the power of mobile app technologies to tackle some of the biggest challenges we face today! Form teams to design and develop solutions that leverage hybrid mobile application and cloud technologies and compete in this exciting hackathon. Online training will be provided on the afternoons of 7, 8, 10 and 11 June to ensure you have an engaging and fruitful Hackathon experience.",Type: Mobile App Development,2021,Harness power mobile app technology tackle biggest challenge face today Form team design develop solution leverage hybrid mobile application cloud technology compete exciting hackathon Online training provided afternoon June ensure engaging fruitful Hackathon experience
18,Cyber Defenders Discovery Camp 2021,Put your cybersecurity skills to the test! Take part in an exhilarating 48-hour team Jeopardy-style Capture-The-Flag competition from 23 to 25 June.,Type: Capture-The-Flag (CTF),2021,Put cybersecurity skill test Take part exhilarating hour team Jeopardy style Capture Flag competition June
19,XRperience 2021,"Come experience the possibilities enabled by eXtended Reality (XR) – from hands-on creation of XR content to developing XR solutions for real use cases. Featuring hands-on workshops and a competition, XR will definitely captivate your attention.",Type: Extended Reality,2021,Come experience possibility enabled eXtended Reality XR hand creation XR content developing XR solution real use case Featuring hand workshop competition XR definitely captivate attention
20,Hack Alliance 2021,"NTU CoE and Dell are organising a university-wide hackathon, spanning across eight weeks between 14 May to 23 July. This is YOUR chance to attain product management and business communication skills from product ideation and development to marketing. You will also be under the guidance of industry mentors from Dell through the entire journey. All you need to do is form a team of five with at least one member each from business, engineering, and any other discipline.",Type: Product Development,2021,NTU CoE Dell organising university wide hackathon spanning across eight week May July chance attain product management business communication skill product ideation development marketing also guidance industry mentor Dell entire journey need form team five least one member business engineering discipline
21,Lifesavers' Innovation Challenge 2021,"We are looking for innovative solutions that can radically improve our society’s readiness to respond. Participants would present an innovative business idea, integrating the use of AI, ML and IoT capabilities from IBM cloud, to craft their response to one of the problem statements.",Type: Innovation,2021,looking innovative solution radically improve society readiness respond Participants would present innovative business idea integrating use AI ML IoT capability IBM cloud craft response one problem statement
22,SDG Open Hack Singapore 2021,"The SDG Open Hack is an atypical hackathon that promotes innovation & entrepreneurship, cultivates leadership, creativity, mobility, international competence, and teamwork ability. It is open to university students, encourages cross universities and disciplines to form a team to solve societal and/or environmental challenges, by way of learning UN 17 SDGs.",Type: Solution Development,2021,SDG Open Hack atypical hackathon promotes innovation entrepreneurship cultivates leadership creativity mobility international competence teamwork ability open university student encourages cross university discipline form team solve societal environmental challenge way learning UN SDGs
23,Starburst x NTU NTC Hackathon,"Innovation is at the heart of everything and it is an essential skill for the 21st century. In collaboration with Starburst Aerospace, Nanyang Technopreneurship Center (NTC) will be launching a hackathon for students to work with companies to bring forth exciting innovations and concrete ideas for our aviation industry. As the first and only global aerospace accelerator, Starburst is an innovation catalyst in the space, aviation and defense industry. They assist teams made up of entrepreneurs and scientists to transform their ideas into marketable products.",Type: Innovation,2021,Innovation heart everything essential skill st century collaboration Starburst Aerospace Nanyang Technopreneurship Center NTC launching hackathon student work company bring forth exciting innovation concrete idea aviation industry first global aerospace accelerator Starburst innovation catalyst space aviation defense industry assist team made entrepreneur scientist transform idea marketable product
24,Data Mover Challenge 2021,The international Data Mover Challenge (DMC) is an annual competition that aims to bring together experts from industry and academia in a bid to test their software and solutions for transferring huge amounts of research data. DMC seeks to challenge international teams to come up with the most advanced and innovative solutions for data transfer across servers located in various countries that are connected by 100Gbps international research and education networks.,Type: High-Performance Computing,2021,international Data Mover Challenge DMC annual competition aim bring together expert industry academia bid test software solution transferring huge amount research data DMC seek challenge international team come advanced innovative solution data transfer across server located various country connected Gbps international research education network
25,Global Youth Challenge,"As the world changes and the sustainable mobility ecosystem gathers to find solutions to tomorrow’s challenges, it’s imperative the younger generation takes a leading role in climate change.",Type: Sustainable Mobility,2021,world change sustainable mobility ecosystem gather find solution tomorrow challenge imperative younger generation take leading role climate change
26,Seagate CORTX Integration Challenge: Singapore,Change the way the world does data by connecting CORTX™— Seagate’s open-source object storage software — with the tools and platforms that underpin the data revolution.,Type: Solution Development,2021,Change way world doe data connecting CORTX Seagate open source object storage software tool platform underpin data revolution
27,Engineering Innovation Challenge 2021,"This competition aims to interest, excite and enable students to understand and experience how engineering plays a part in energy innovation.",Type: Radiation Engineering,2021,competition aim interest excite enable student understand experience engineering play part energy innovation
28,"Build On, ASEAN 2021","Amazon Web Services (AWS) is excited to announce the launch of Build On, ASEAN 2021, a competitive hackathon that challenges the community to create technological initiatives and solutions to address challenges faced by our participating sponsors. Engage, collaborate, and innovate with AWS.",Type: Solution Development,2021,Amazon Web Services AWS excited announce launch Build ASEAN competitive hackathon challenge community create technological initiative solution address challenge faced participating sponsor Engage collaborate innovate AWS
29,CodeFiesta 2021,"CodeFiesta 2021 is a 10-day event, comprising of a series of workshops and a virtual hackathon. The event is free and open to all students. It is organised by a student organising committee in collaboration with GovTech Singapore, with the aim to provide students a platform to solve real-world challenge statements, network with their peers and tech experts, and explore possible careers in technology",Type: Solution Development,2021,CodeFiesta day event comprising series workshop virtual hackathon event free open student organised student organising committee collaboration GovTech Singapore aim provide student platform solve real world challenge statement network peer tech expert explore possible career technology
30,SMU LIT Hackathon 2021,"This Hackathon seeks to allow participants to appreciate the synergy between technology and the legal sphere. During this event, law firms provide a set of Problem Statements, which covers diverse topics such as automating research, legal analytics and access to justice. Participant teams will choose a single Problem Statement provided and build a prototype solution.",Type: Legal,2021,Hackathon seek allow participant appreciate synergy technology legal sphere event law firm provide set Problem Statements cover diverse topic automating research legal analytics access justice Participant team choose single Problem Statement provided build prototype solution
31,Facebook Hacker Cup 2021,"Hacker Cup is Facebook's annual open programming competition. Open to participants around the world, we invite you to apply problem-solving and algorithmic coding skills to advance through each year’s online rounds, win prizes, and have a chance to make it to the global finals and win the grand prize.",Type: Algorithm,2021,Hacker Cup Facebook annual open programming competition Open participant around world invite apply problem solving algorithmic coding skill advance year online round win prize chance make global final win grand prize
32,Citi HackOverflow 2021,"Join us in making revolutionary changes to the banking industry! You will be working with your team mates on a problem statement that solve real life problem which is relevant to showcase your skills and creativity. There will be no restrictions on coding languages, frameworks, libraries and tools.",Type: Solution Development,2021,Join u making revolutionary change banking industry working team mate problem statement solve real life problem relevant showcase skill creativity restriction coding language framework library tool
33,Asean Green Research Hackathon,"Singapore College of Insurance (SCI), in collaboration with the ASEAN Insurance Council (AIC) is organising this inaugural hackathon to generate greater awareness about green insurance and sustainable risk management; and to also bring together the best minds from the industry and beyond to be involved in the discussion and development of various innovative solutions that are necessary to address the growing need of and demand for both corporate responsibility and environmental sustainability.",Type: Green Insurance,2021,Singapore College Insurance SCI collaboration ASEAN Insurance Council AIC organising inaugural hackathon generate greater awareness green insurance sustainable risk management also bring together best mind industry beyond involved discussion development various innovative solution necessary address growing need demand corporate responsibility environmental sustainability
34,PSA Hackathon 2021,PSA Hackathon 2021,Type: Solution Development,2021,PSA Hackathon
35,MSC Maritime Digital Challenge 2021,"Pit your tech skills against real-world challenges posed by leading maritime companies at the MSC Maritime Digital Challenge (MMDC). Along the way, gain valuable credentials, secure internships and get mentored by industry executives from Eastport Maritime, Kanda (in collaboration with Eastern Pacific Shipping) and Torvald Klaveness. Winning teams receive cash prizes of up to $3,500 per team too.",Type: Solution Development,2021,Pit tech skill real world challenge posed leading maritime company MSC Maritime Digital Challenge MMDC Along way gain valuable credential secure internship get mentored industry executive Eastport Maritime Kanda collaboration Eastern Pacific Shipping Torvald Klaveness Winning team receive cash prize per team
36,Singapore Airlines AppChallenge 2021,"Shortlisted teams will receive dedicated mentoring sessions from aviation experts, business coaches and a chance to pitch their ideas to Singapore Airlines senior management who will be part of the judging panel. Up to 500,000 KrisFlyer Miles and Singapore Airlines Merchandise to be won.",Type: Solution Development,2021,Shortlisted team receive dedicated mentoring session aviation expert business coach chance pitch idea Singapore Airlines senior management part judging panel KrisFlyer Miles Singapore Airlines Merchandise
37,Virtual Accounting Innovation Challenge 2021,Showcase your skills and creativity and create a solution to solve the business issues faced by accounting professionals in the region's biggest accounting hackathon. Come build the future of accounting!,Type: Accounting,2021,Showcase skill creativity create solution solve business issue faced accounting professional region biggest accounting hackathon Come build future accounting
38,What The Hack: Environment,"What The Hack is SUTD's annual hackathon that aims to bring together people of various disciplines and provide them with a platform to find innovative solutions to meaningful real-world problems. This year’s theme is Environment, of which there will be four problem themes related to this overarching theme - Built Environment, Waste Management, Natural Environment and Transportation. Participants will have to tackle an issue from within one of these problem domains using solutions that fall under at least one of these four technological categories - Software Platforms, Internet of Things, Artificial Intelligence and Computational Fabrication. Due to the current COVID-19 situation, What The Hack 2021 will be held virtually!",Type: Solution Development,2021,Hack SUTD annual hackathon aim bring together people various discipline provide platform find innovative solution meaningful real world problem year theme Environment four problem theme related overarching theme Built Environment Waste Management Natural Environment Transportation Participants tackle issue within one problem domain using solution fall least one four technological category Software Platforms Internet Things Artificial Intelligence Computational Fabrication Due current COVID situation Hack held virtually
39,SBS Transit Hackathon 2021,SBS Transit (a member of ComfortDelgro) is organising a Hackathon themed “Transcend with Technology” They are calling for interested and creative students to look at one or more of their 6 problem statements. Registration can be on an individual or team basis of maximum of 5 members. The Hackathon will be in 2 phases Phase 1 of the Hackathons : Submission of ideation proposals Phase 2 of the Hackathon : Shortlisted proposals will go into project work stage,Type: Solution Development,2021,SBS Transit member ComfortDelgro organising Hackathon themed Transcend Technology calling interested creative student look one problem statement Registration individual team basis maximum member Hackathon phase Phase Hackathons Submission ideation proposal Phase Hackathon Shortlisted proposal go project work stage
40,UKSAEI Climate Change Hackathon,The UKSAEI Climate Change Hackathon aims to support the global campaign #RacetoZero to rally momentum amongst universities and businesses by generating innovative ideas from students to address the global climate issue.,Type: Solution Development,2021,UKSAEI Climate Change Hackathon aim support global campaign RacetoZero rally momentum amongst university business generating innovative idea student address global climate issue
41,ST Logistics Innovation Challenge 2021,"We are inviting university students to participate in this challenge not only for the chance to collaborate with a major supply chain and logistics company, test-bed and gain funding to develop solutions, but also to play a critical role in building a more technologically-enabled Singapore.*",Type: Solution Development,2021,inviting university student participate challenge chance collaborate major supply chain logistics company test bed gain funding develop solution also play critical role building technologically enabled Singapore
42,Code for Good 2021,"At our Code for Good event, we bring coders and non-profit organizations together to solve real-world technical problems. You will experience firsthand how we use technology to inspire change, foster inclusion and make a difference in our communities. Work alongside our tech experts. Meet our recruiting teams and experience what it’s like to work as an engineer at J.P. Morgan.",Type: Social Solution,2021,Code Good event bring coder non profit organization together solve real world technical problem experience firsthand use technology inspire change foster inclusion make difference community Work alongside tech expert Meet recruiting team experience like work engineer J P Morgan
43,Supply Chain Hackathon 2021,"The Young SEAkers proudly presents our first ever Supply Chain Hackathon, supported by YCH. With a regional focus, the Supply Chain Hackathon aims to bring together youths and students of ASEAN nationality (Brunei, Myanmar, Cambodia, Indonesia, Laos, Malaysia, Philippines, Singapore, Thailand and Vietnam) to delve deeper into the supply chain realm and generate innovative ideas to tackle some of the real-life issues faced by the industry at large.",Type: Supply Chain,2021,Young SEAkers proudly present first ever Supply Chain Hackathon supported YCH regional focus Supply Chain Hackathon aim bring together youth student ASEAN nationality Brunei Myanmar Cambodia Indonesia Laos Malaysia Philippines Singapore Thailand Vietnam delve deeper supply chain realm generate innovative idea tackle real life issue faced industry large
44,MLDA DLW HACKATHON,"DLW Hackathon is a 48-hour virtual Hackathon, dedicated to hacks with Machine Learning and Artificial Intelligence (ML/AI), conducted fully virtual in Gather.town",Type: Machine Learning,2021,DLW Hackathon hour virtual Hackathon dedicated hack Machine Learning Artificial Intelligence ML AI conducted fully virtual Gather town
45,TCS Sustainathon,"The world is changing, and we want to enable future-ready and inclusive education for Singapore through technology and Innovation. Join us to become a force in driving for a better and more sustainable future.",Type: Ideathon,2021,world changing want enable future ready inclusive education Singapore technology Innovation Join u become force driving better sustainable future
46,InfoSecurity Challenge (TISC) 2021,TISC is an online challenge organised by CSIT since 2020. It provides opportunities for interested Singaporeans to put their cybersecurity and programming skills to the test by solving challenging puzzles against the clock,Type: Cyber Security,2021,TISC online challenge organised CSIT since provides opportunity interested Singaporeans put cybersecurity programming skill test solving challenging puzzle clock
47,Pwc Hackathon Challenge 2021,"This year, PwC Singapore is hosting its first Hackathon Challenge where undergraduate students are given the opportunity to showcase their skills and knowledge in the cybersecurity field. Students get to put their skills to work in new ways as they navigate through real-world complex questions, designed to hone their expertise in tackling today’s cloud challenges.",Type: Cyber Security,2021,year PwC Singapore hosting first Hackathon Challenge undergraduate student given opportunity showcase skill knowledge cybersecurity field Students get put skill work new way navigate real world complex question designed hone expertise tackling today cloud challenge
48,FPG Fit Hack 2021,"Led by FairPrice Group (FPG), Food, Innovation & Technology (FIT) Hack is all about discovering new ideas, concepts and business models from students in order to build a more sustainable world.","Type: Food, Innovation & Technology",2021,Led FairPrice Group FPG Food Innovation Technology FIT Hack discovering new idea concept business model student order build sustainable world
49,HTX Investigators’ Challenge 2021,HTX Investigators’ Challenge 2021 is a fully gamified Capture-the-Flag virtual event that will involve a wide variety of challenges to showcase HTX’s capabilities in science and technology domains.,Type: Cyber Security,2021,HTX Investigators Challenge fully gamified Capture Flag virtual event involve wide variety challenge showcase HTX capability science technology domain
50,GS ENGage 2021,We seek to engage with engineers and showcase exciting problems at Goldman Sachs. Demonstrate your creative coding and problem-solving skills at GS ENGage 2021. Apply to participate and meet fellow developers from the area while learning about our work in engineering.,Type: Solution Development,2021,seek engage engineer showcase exciting problem Goldman Sachs Demonstrate creative coding problem solving skill GS ENGage Apply participate meet fellow developer area learning work engineering
51,Huawei Cloud Spark 2021,"Join the HUAWEI CLOUD SPARK Hackathon Singapore 2022 to stand a chance to win up to USD15,000 (in cash) per team, and get fast-tracked into the final stages of interviews for dedicated job opportunities within Huawei and the Spark Program portfolio startups.",Type: Solution Development,2022,Join HUAWEI CLOUD SPARK Hackathon Singapore stand chance win USD cash per team get fast tracked final stage interview dedicated job opportunity within Huawei Spark Program portfolio startup
52,Appetizier Hackathon 2021,"The theme of the hackathon: New Normal in the POST-COVID-19 Era, The Beginning of Innovation using Cloud",Type: API Development,2021,theme hackathon New Normal POST COVID Era Beginning Innovation using Cloud
53,Singapore Global Game Jam 2022,"Are you interested in making games? Join Singapore Global Game Jam 2022 now! GGJ SG is a casual non-competitive game jam for people interested in game creation (digital or board games). We welcome people of all experience levels - programmers, game designers, sound producers, artists and writers are all invited! Event Details: Date: 21 Jan 6pm - 23 Jan 6pm Duration: 48 hours Location: Virtual event on Discord To Register: Step 1: Form a group (5-6 recommended). If you can’t find a group, don’t worry! You can find a group on our Discord server or Jam by yourself! Step 2: Sign up all your group members on our official GGJ jam site https://globalgamejam.org/2022/jam-sites/singapore-global-game-jam-2022 Step 3: Register for GGJ SG at https://forms.gle/q5YsM73ytvR2qW5F6 For more information, please contact ggj.sg2022@gmail.com",Type: Game Development,2022,interested making game Join Singapore Global Game Jam GGJ SG casual non competitive game jam people interested game creation digital board game welcome people experience level programmer game designer sound producer artist writer invited Event Details Date Jan pm Jan pm Duration hour Location Virtual event Discord Register Step Form group recommended find group worry find group Discord server Jam Step Sign group member official GGJ jam site http globalgamejam org jam site singapore global game jam Step Register GGJ SG http form gle q YsM ytvR qW F information please contact ggj sg gmail com
54,NUS Fintech Month,"The theme for this upcoming hackathon is all about ""Next-Generation Decentralized Applications"", such as DeFi, wallets, cross-chain applications, or even introducing decentralized technologies to different industries",Type: Blockchain,2022,theme upcoming hackathon Next Generation Decentralized Applications DeFi wallet cross chain application even introducing decentralized technology different industry
55,IdeasJam NTU 2022,"An ideathon with specially curated workshops and mentors to guide the participants in planning their best start-up ideas to solve the problem statement. Innovating change by supporting the SG 2030 Green Plan. Themes include Sustainable Living, City in Nature, Resilient Future and Energy Reset.",Type: Product Development,2022,ideathon specially curated workshop mentor guide participant planning best start idea solve problem statement Innovating change supporting SG Green Plan Themes include Sustainable Living City Nature Resilient Future Energy Reset
56,NUS Data Analytics Competition 2022,The Data Analytics Competition (DAC) 2022 is a data analytics competition organised by the NUS Statistics and Data Science Society. DAC2022 is for people of varying skill levels to learn how to explore and better appreciate data.,Type: Product Development,2022,Data Analytics Competition DAC data analytics competition organised NUS Statistics Data Science Society DAC people varying skill level learn explore better appreciate data
57,hacksingapore,"Enter the world of hacksingapore (also known as hacksg), a nationwide hackathon that brings together a community to tackle problems through emerging technologies — Blockchain, No-Code & Gaming. This is your chance to develop skills, explore new technologies, and test new innovative ideas to propel Singapore’s tech ecosystem forward. This January, we invite change-makers all over the country to join us from Wednesday, 5 January to Sunday, 3 April 2022 for a hybrid hackathon catered to technical & non-technical talents. Throughout the hackathon, hackers will have access to mentorship and workshops from the IMDA Team, community contributors, and the broader ecosystem.",Type: Blockchain,2022,Enter world hacksingapore also known hacksg nationwide hackathon brings together community tackle problem emerging technology Blockchain Code Gaming chance develop skill explore new technology test new innovative idea propel Singapore tech ecosystem forward January invite change maker country join u Wednesday January Sunday April hybrid hackathon catered technical non technical talent Throughout hackathon hacker access mentorship workshop IMDA Team community contributor broader ecosystem
58,Eye-Spiring 2022,"Johnson & Johnson Vision Hackathon is looking for like-minded, talented students and professionals to pit their wits and envision the future of eyecare. In the spirit of hacking, think of ideas as existing and waiting to be brought to life. If you have what it takes to build an app or a business solution, then join the hackathon today!",Type: Healthcare,2022,Johnson Johnson Vision Hackathon looking like minded talented student professional pit wit envision future eyecare spirit hacking think idea existing waiting brought life take build app business solution join hackathon today
59,iNTUition v8.0,"IEEE NTU student branch is pleased to announce that iNTUition v8, one of South East Asia’s largest 24-hour, hackathon, is right around the corner!",Type: Solution Development,2022,IEEE NTU student branch pleased announce iNTUition v one South East Asia largest hour hackathon right around corner
60,Shopee Code League 2022,"Shopee Code League is a 2-week coding league consisting of two rounds of coding competitions, open to all students and professionals. This year, you will get to put your coding skills to the test by challenging yourself to solve algorithmic puzzles designed by our Shopee Engineering team. Participate with your buddies to solve real-world problems, and battle it out as the region’s coding champions.",Type: Algorithms,2022,Shopee Code League week coding league consisting two round coding competition open student professional year get put coding skill test challenging solve algorithmic puzzle designed Shopee Engineering team Participate buddy solve real world problem battle region coding champion
61,The Cyber League 2022,"Pioneered in 2020, the Cyber League is a cybersecurity movement that brings forth competitions through multiple levels. The Cyber League is fronted by N0H4TS and aims to provide a competitive platform for all students and professionals alike to hone their cybersecurity skillsets while competing at the highest level. We strive to build a thriving community of budding students and professionals to develop expertise and capabilities in cybersecurity for Singapore.",Type: CyberSecurity,2022,Pioneered Cyber League cybersecurity movement brings forth competition multiple level Cyber League fronted N H TS aim provide competitive platform student professional alike hone cybersecurity skillsets competing highest level strive build thriving community budding student professional develop expertise capability cybersecurity Singapore
62,Code League 2022,"Shopee Code League is a 2-week coding league consisting of two rounds of coding competitions, open to all students and professionals. This year, you will get to put your coding skills to the test by challenging yourself to solve algorithmic puzzles designed by our Shopee Engineering team. Participate with your buddies to solve real-world problems, and battle it out as the region’s coding champions.",Type: Algorithm,2022,Shopee Code League week coding league consisting two round coding competition open student professional year get put coding skill test challenging solve algorithmic puzzle designed Shopee Engineering team Participate buddy solve real world problem battle region coding champion
